Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.043792592615551414,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098081789,5.0,0.9224176619616358
Policy_Maker,942.6,0.08456375838926178,0.9933333333333333,6.284563758389262,6.2,0.04367293067172841,0.9933333333333333,0.011333333333333334,0.007246376811594235,0.9933333333333333,0.006666666666666667,0.9777777777777776,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333333,2.0,0.995846567311735,2.0,0.5045094938630648,7.0,0.8929601011238488
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333333,6.274285714285715,4.049999990463257,0.043558730181688994,0.9333333333333333,0.1693333339691162,0.07246376811594202,0.9333333333333333,0.06666666666666667,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747663,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333333,3.0,0.9379428290129231,3.0,0.40184064939766245,8.0,0.7968455845710061
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.9833333253860475,0.043111755256453194,0.92,0.2413333339691162,-0.0036231884057971175,0.92,0.08,0.9888888888888888,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977496,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.7480890408705672
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.9833333253860475,0.043111755256453194,0.92,0.2413333339691162,-0.0036231884057971175,0.92,0.08,0.9888888888888888,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977496,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.7480890408705672
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.04422407409703289,0.8,0.716000001748403,-0.32608695652173914,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6675201562577728
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.04422407409703289,0.8,0.716000001748403,-0.32608695652173914,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6675201562577728
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091085,0.7,1.0406666671435039,-0.21739130434782605,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145726,8.0,0.5064888061630614,6.0,0.5716878581421934
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.04384444446740328,0.2866666666666667,2.728666667779287,0.050724637681159424,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.658704306912788,3.0,0.41529641693811314
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.04384444446740328,0.2866666666666667,2.728666667779287,0.050724637681159424,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.658704306912788,3.0,0.41529641693811314
